model,distance_bucket_m,occlusion_condition,n_frames,precision,recall,f1,mean_pixel_error,occluded_side_false_positive_rate,mean_latency_s
singlestage_sahi_v1,0.8,left_occluded,6,0.25,0.2,0.2222,0.733,0.4286,4.08488
singlestage_sahi_v1,0.8,right_occluded,6,0.6667,1.0,0.8,1.805,0.5,4.10568
singlestage_sahi_v1,0.8,unknown,15,1.0,0.8214,0.902,2.781,0.0,4.13749
singlestage_sahi_v1,1.2,left_occluded,6,,0.0,,,0.0,4.18022
singlestage_sahi_v1,1.2,right_occluded,6,1.0,0.2,0.3333,3.61,0.0,4.21721
singlestage_sahi_v1,1.2,unknown,15,1.0,0.5,0.6667,3.053,0.0,4.16241
singlestage_sahi_v1,1.5,left_occluded,6,0.0,0.0,,,0.25,4.14362
singlestage_sahi_v1,1.5,right_occluded,6,,0.0,,,0.0,4.07139
singlestage_sahi_v1,1.5,unknown,15,1.0,0.2083,0.3448,1.797,0.0,4.09411
singlestage_sahi_v1,2.0,left_occluded,6,1.0,0.1667,0.2857,2.626,0.0,4.48121
singlestage_sahi_v1,2.0,right_occluded,6,0.0,0.0,,,0.1667,4.03177
singlestage_sahi_v1,2.0,unknown,15,1.0,0.0435,0.0833,1.918,0.0,4.14329
singlestage_sahi_v1,2.5,left_occluded,6,0.0,0.0,,,0.6667,4.07613
singlestage_sahi_v1,2.5,right_occluded,6,,0.0,,,0.0,4.19393
singlestage_sahi_v1,2.5,unknown,20,1.0,0.6765,0.807,2.221,0.0,4.11147
singlestage_sahi_v2_cascade,0.8,left_occluded,6,0.625,1.0,0.7692,1.759,0.4286,6.48469
singlestage_sahi_v2_cascade,0.8,right_occluded,6,0.6,1.0,0.75,1.402,0.6667,6.13612
singlestage_sahi_v2_cascade,0.8,unknown,15,0.9643,0.9643,0.9643,2.834,0.0,2.00357
singlestage_sahi_v2_cascade,1.2,left_occluded,6,0.0,0.0,,,0.1667,8.70956
singlestage_sahi_v2_cascade,1.2,right_occluded,6,0.75,0.3,0.4286,3.948,0.0,8.47932
singlestage_sahi_v2_cascade,1.2,unknown,15,0.875,0.6364,0.7368,3.385,0.25,8.33861
singlestage_sahi_v2_cascade,1.5,left_occluded,6,0.0,0.0,,,0.625,8.12225
singlestage_sahi_v2_cascade,1.5,right_occluded,6,0.5,0.5,0.5,2.825,0.5,7.87425
singlestage_sahi_v2_cascade,1.5,unknown,15,0.4,0.0833,0.1379,2.292,0.1667,7.83587
singlestage_sahi_v2_cascade,2.0,left_occluded,6,0.25,0.1667,0.2,3.635,0.5,8.74838
singlestage_sahi_v2_cascade,2.0,right_occluded,6,0.0,0.0,,,0.5,7.77614
singlestage_sahi_v2_cascade,2.0,unknown,15,1.0,0.3043,0.4667,3.458,0.0,7.96792
singlestage_sahi_v2_cascade,2.5,left_occluded,6,0.3333,0.2222,0.2667,2.52,1.0,7.96666
singlestage_sahi_v2_cascade,2.5,right_occluded,6,0.5,0.1111,0.1818,2.66,0.3333,8.06386
singlestage_sahi_v2_cascade,2.5,unknown,20,0.8387,0.7647,0.8,2.387,0.5,5.28531
tfake_landmark,0.8,left_occluded,6,0.0,0.0,,,0.4286,0.14851
tfake_landmark,0.8,right_occluded,6,0.0,0.0,,,0.5,0.15334
tfake_landmark,0.8,unknown,15,0.8,0.8571,0.8276,4.632,1.0,0.19147
tfake_landmark,1.2,left_occluded,6,,0.0,,,0.0,0.10319
tfake_landmark,1.2,right_occluded,6,1.0,0.8,0.8889,3.746,0.0,0.1764
tfake_landmark,1.2,unknown,15,0.6333,0.8636,0.7308,3.379,1.0,0.1933
tfake_landmark,1.5,left_occluded,6,,0.0,,,0.0,0.10068
tfake_landmark,1.5,right_occluded,6,0.0,0.0,,,0.5,0.14809
tfake_landmark,1.5,unknown,15,0.6333,0.7917,0.7037,3.468,1.0,0.1907
tfake_landmark,2.0,left_occluded,6,,0.0,,,0.0,0.11528
tfake_landmark,2.0,right_occluded,6,,0.0,,,0.0,0.10245
tfake_landmark,2.0,unknown,15,0.7917,0.8261,0.8085,2.947,0.5714,0.18205
tfake_landmark,2.5,left_occluded,6,,0.0,,,0.0,0.10207
tfake_landmark,2.5,right_occluded,6,,0.0,,,0.0,0.10549
tfake_landmark,2.5,unknown,20,0.825,0.9706,0.8919,2.859,1.0,0.2009
twostage_adaptivezoom,0.8,left_occluded,6,1.0,1.0,1.0,1.024,0.0,0.48938
twostage_adaptivezoom,0.8,right_occluded,6,0.6667,1.0,0.8,1.51,0.5,0.45349
